Begrotingsjaar,Valuta,eenheid,Uitgaven (U) Verplichtingen (V) Ontvangsten (O),Begrotingsstaat,Onderdeel,Omschrijving,ontwerpbegroting,vastgestelde begroting,1ste suppletoire begroting,2de suppletoire begroting,Realisatie,Url
2013,Euro,x1000,O,A: Infrastructuurfonds,11,Hoofdwatersystemen,0,0,0,0,0,
2013,Euro,x1000,O,A: Infrastructuurfonds,12,Hoofdwegennet,262105,262105,127451,173148,150887,
2013,Euro,x1000,O,A: Infrastructuurfonds,13,Railwegen,60000,60000,172581,216441,202042,
2013,Euro,x1000,O,A: Infrastructuurfonds,14,Regionaal: lokale infra,0,0,600,600,0,
2013,Euro,x1000,O,A: Infrastructuurfonds,15,Hoofdvaarwegennet,30036,30036,39210,20942,10853,
2013,Euro,x1000,O,A: Infrastructuurfonds,16,Megaprojecten niet-Verkeer en Vervoer,0,0,0,0,0,
2013,Euro,x1000,O,A: Infrastructuurfonds,17,Megaprojecten Verkeer en Vervoer,3000,3000,1099,99,2346,
2013,Euro,x1000,O,A: Infrastructuurfonds,18,Overige uitgaven en ontvangsten,0,0,147317,147317,147319,
2013,Euro,x1000,O,A: Infrastructuurfonds,19,Bijdrage andere begrotingen Rijk,5879349,5879349,5812220,5719716,5722871,
2013,Euro,x1000,O,A: Infrastructuurfonds,-,TOTAAL,6234490,6234490,6300478,6278263,6236318,
2013,Euro,x1000,O,B: Gemeentefonds,1,Gemeentefonds,0,0,0,51,51,
2013,Euro,x1000,O,B: Gemeentefonds,-,TOTAAL,0,0,0,51,51,
2013,Euro,x1000,O,C: Provinciefonds,1,Provinciefonds,0,0,0,0,0,
2013,Euro,x1000,O,C: Provinciefonds,-,TOTAAL,0,0,0,0,0,
2013,Euro,x1000,O,F: Diergezondheidsfonds,1,Bewaking en bestrijding van dierziekten,9700,9700,14336,17553,20541,
2013,Euro,x1000,O,F: Diergezondheidsfonds,-,TOTAAL,9700,9700,14336,17553,20541,
2013,Euro,x1000,O,H: BES-fonds,1,BES-fonds,0,0,0,0,0,
2013,Euro,x1000,O,H: BES-fonds,-,TOTAAL,0,0,0,0,0,
2013,Euro,x1000,O,I: De Koning,1,UITKERING LEDEN KONINKLIJK HUIS,0,0,0,0,0,
2013,Euro,x1000,O,I: De Koning,2,Functionele uitgaven van de Koning,0,0,293,293,293,
2013,Euro,x1000,O,I: De Koning,3,Doorbelaste uitgaven van andere begrotingen,0,0,125,125,125,
2013,Euro,x1000,O,I: De Koning,-,TOTAAL,0,0,418,418,418,
2013,Euro,x1000,O,IIa: De Staten Generaal,1,Wetgeving en controle Eerste Kamer,79,79,79,90,204,
2013,Euro,x1000,O,IIa: De Staten Generaal,2,Uitgaven tbv van (oud) leden Tweede Kamer en leden EP,86,86,86,86,86,
2013,Euro,x1000,O,IIa: De Staten Generaal,3,Wetgeving en controle Tweede Kamer,2766,2766,4966,4966,4766,
2013,Euro,x1000,O,IIa: De Staten Generaal,4,Wetgeving en controle Eerste en Tweede Kamer,23,23,23,23,0,
2013,Euro,x1000,O,IIa: De Staten Generaal,10,Nominaal en onvoorzien,0,0,0,0,0,
2013,Euro,x1000,O,IIa: De Staten Generaal,-,TOTAAL,2954,2954,5154,5165,5056,
2013,Euro,x1000,O,IIb: Overige Hoge Colleges van Staat,1,Raad van State,2002,2002,2302,2302,2987,
